period_id,period_start,period_end,active_households,new_households,returning_households,prior_active_households,retained_households,retention_rate
1,1,28,448.0,448.0,0.0,0.0,0.0,
2,29,56,877.0,520.0,357.0,448.0,357.0,0.796875
3,57,84,1391.0,619.0,772.0,877.0,734.0,0.8369441277080958
4,85,112,1963.0,682.0,1281.0,1391.0,1188.0,0.8540618260244428
5,113,140,2012.0,224.0,1788.0,1963.0,1660.0,0.8456444218033622
6,141,168,1985.0,1.0,1984.0,2012.0,1784.0,0.8866799204771372
7,169,196,1959.0,0.0,1959.0,1985.0,1740.0,0.8765743073047859
8,197,224,1971.0,2.0,1969.0,1959.0,1767.0,0.9019908116385911
9,225,252,1992.0,0.0,1992.0,1971.0,1776.0,0.9010654490106544
10,253,280,1975.0,1.0,1974.0,1992.0,1780.0,0.893574297188755
11,281,308,1981.0,0.0,1981.0,1975.0,1765.0,0.8936708860759494
12,309,336,1961.0,0.0,1961.0,1981.0,1777.0,0.8970217062089854
13,337,364,1967.0,0.0,1967.0,1961.0,1758.0,0.8964813870474247
14,365,392,1983.0,0.0,1983.0,1967.0,1757.0,0.8932384341637011
15,393,420,1993.0,0.0,1993.0,1983.0,1797.0,0.9062027231467473
16,421,448,2010.0,1.0,2009.0,1993.0,1795.0,0.9006522829904666
17,449,476,2039.0,0.0,2039.0,2010.0,1828.0,0.909452736318408
18,477,504,2020.0,0.0,2020.0,2039.0,1838.0,0.9014222658165768
19,505,532,1996.0,0.0,1996.0,2020.0,1804.0,0.8930693069306931
20,533,560,1999.0,0.0,1999.0,1996.0,1789.0,0.8962925851703407
21,561,588,2027.0,0.0,2027.0,1999.0,1816.0,0.9084542271135568
22,589,616,2052.0,1.0,2051.0,2027.0,1846.0,0.9107054760730143
23,617,644,2023.0,0.0,2023.0,2052.0,1838.0,0.8957115009746589
24,645,672,2017.0,0.0,2017.0,2023.0,1811.0,0.8952051408798813
25,673,700,2029.0,1.0,2028.0,2017.0,1816.0,0.9003470500743679
26,701,711,1633.0,0.0,1633.0,2029.0,1528.0,0.7530803351404632
