cohort_period,period_id,active_households,cohort_households,retention_rate
1,1,448.0,448,1.0
1,2,357.0,448,0.796875
1,3,351.0,448,0.7834821428571429
1,4,362.0,448,0.8080357142857143
1,5,351.0,448,0.7834821428571429
1,6,357.0,448,0.796875
1,7,360.0,448,0.8035714285714286
1,8,362.0,448,0.8080357142857143
1,9,358.0,448,0.7991071428571429
1,10,358.0,448,0.7991071428571429
1,11,357.0,448,0.796875
1,12,364.0,448,0.8125
1,13,364.0,448,0.8125
1,14,364.0,448,0.8125
1,15,357.0,448,0.796875
1,16,345.0,448,0.7700892857142857
1,17,371.0,448,0.828125
1,18,359.0,448,0.8013392857142857
1,19,361.0,448,0.8058035714285714
1,20,366.0,448,0.8169642857142857
1,21,359.0,448,0.8013392857142857
1,22,372.0,448,0.8303571428571429
1,23,370.0,448,0.8258928571428571
1,24,367.0,448,0.8191964285714286
1,25,369.0,448,0.8236607142857143
1,26,298.0,448,0.6651785714285714
2,2,520.0,520,1.0
2,3,421.0,520,0.8096153846153846
2,4,419.0,520,0.8057692307692308
2,5,408.0,520,0.7846153846153846
2,6,412.0,520,0.7923076923076923
2,7,406.0,520,0.7807692307692308
2,8,413.0,520,0.7942307692307692
2,9,409.0,520,0.7865384615384615
2,10,414.0,520,0.7961538461538461
2,11,407.0,520,0.7826923076923077
2,12,411.0,520,0.7903846153846154
2,13,420.0,520,0.8076923076923077
2,14,409.0,520,0.7865384615384615
2,15,413.0,520,0.7942307692307692
2,16,425.0,520,0.8173076923076923
2,17,421.0,520,0.8096153846153846
2,18,431.0,520,0.8288461538461539
2,19,413.0,520,0.7942307692307692
2,20,418.0,520,0.8038461538461539
2,21,426.0,520,0.8192307692307692
2,22,430.0,520,0.8269230769230769
2,23,425.0,520,0.8173076923076923
2,24,416.0,520,0.8
2,25,407.0,520,0.7826923076923077
2,26,337.0,520,0.6480769230769231
3,3,619.0,619,1.0
3,4,500.0,619,0.8077544426494345
3,5,486.0,619,0.7851373182552503
3,6,485.0,619,0.7835218093699515
3,7,482.0,619,0.778675282714055
3,8,487.0,619,0.7867528271405493
3,9,495.0,619,0.7996768982229402
3,10,482.0,619,0.778675282714055
3,11,480.0,619,0.7754442649434572
3,12,478.0,619,0.7722132471728594
3,13,482.0,619,0.778675282714055
3,14,494.0,619,0.7980613893376414
3,15,492.0,619,0.7948303715670436
3,16,501.0,619,0.8093699515347335
3,17,503.0,619,0.8126009693053312
3,18,506.0,619,0.8174474959612278
3,19,508.0,619,0.8206785137318255
3,20,491.0,619,0.7932148626817448
3,21,508.0,619,0.8206785137318255
3,22,504.0,619,0.81421647819063
3,23,495.0,619,0.7996768982229402
3,24,487.0,619,0.7867528271405493
3,25,503.0,619,0.8126009693053312
3,26,395.0,619,0.6381260096930533
4,4,682.0,682,1.0
4,5,543.0,682,0.7961876832844574
4,6,555.0,682,0.8137829912023461
4,7,538.0,682,0.7888563049853372
4,8,529.0,682,0.7756598240469208
4,9,547.0,682,0.8020527859237536
4,10,537.0,682,0.7873900293255132
4,11,557.0,682,0.8167155425219942
4,12,531.0,682,0.7785923753665689
4,13,520.0,682,0.7624633431085044
4,14,536.0,682,0.7859237536656891
4,15,555.0,682,0.8137829912023461
4,16,552.0,682,0.8093841642228738
4,17,557.0,682,0.8167155425219942
4,18,549.0,682,0.8049853372434017
