household_key,recency_weeks,frequency_baskets,monetary_spend,avg_line_sales,total_units,product_diversity,category_diversity,discount_amount,coupon_line_count,first_half_spend,second_half_spend,top_department_share,spend_trend_change,discount_rate,coupon_engagement,campaign_exposure_count,future_spend,next_period_active_flag,next_period_spend_decline_flag,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc,missing_demographic_flag
1,0,73,3693.7699999999786,2.49242240215923,1725.0,590,124,716.1600000000012,92.0,1576.4100000000028,2117.3600000000015,0.6433129296085067,540.9499999999987,0.16239713555544066,1.2602739726027397,6,636.3900000000008,1,0,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0
2,0,43,1740.6700000000033,2.8075322580645214,722.0,489,137,315.09000000000003,6.0,822.7400000000004,917.9300000000006,0.5636680128915875,95.19000000000028,0.15327178269836922,0.13953488372093023,1,213.67,1,1,,,,,,,,1
3,6,44,2554.979999999995,2.9367586206896497,8472.0,489,108,731.8700000000003,53.0,1603.0600000000015,951.9200000000005,0.6800875153621573,-651.140000000001,0.22266607846418346,1.2045454545454546,3,98.22999999999999,1,1,,,,,,,,1
4,0,29,1175.1600000000005,3.9835932203389848,374.0,158,61,116.77999999999994,1.0,883.4200000000004,291.73999999999995,0.5843970182783623,-591.6800000000005,0.0903911946375218,0.034482758620689655,1,24.950000000000003,1,1,,,,,,,,1
5,4,38,749.0900000000003,3.420502283105024,242.0,196,75,118.32999999999997,0.0,469.39000000000016,279.7000000000001,0.43941315462761465,-189.69000000000005,0.13641603836665045,0.0,0,29.97,1,1,,,,,,,,1
6,0,216,5301.469999999954,3.344776025236564,94399.0,719,146,730.4799999999999,3.0,2294.389999999998,3007.079999999988,0.31642733053285566,712.68999999999,0.12110179958388341,0.013888888888888888,4,694.6900000000002,1,1,,,,,,,,1
7,1,42,2420.1199999999953,2.6980156075808197,1081.0,642,139,349.44,14.0,696.2200000000001,1723.9000000000024,0.51477199477712,1027.680000000002,0.12617166625745627,0.3333333333333333,4,979.9300000000009,1,0,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,0
8,1,96,4387.34999999997,2.8489285714285524,67794.0,1049,174,881.8400000000007,22.0,1656.9300000000023,2730.4199999999955,0.5447137793884732,1073.4899999999932,0.16735779123546607,0.22916666666666666,9,1147.620000000002,1,0,25-34,U,25-34K,Unknown,2 Adults Kids,3,1,0
9,0,14,622.3800000000006,3.639649122807021,285.0,154,66,155.08999999999997,1.0,109.72999999999998,512.6500000000002,0.7801182557280113,402.92000000000024,0.19948036580189574,0.07142857142857142,0,175.04000000000008,1,0,,,,,,,,1
10,17,7,163.94000000000003,3.2788000000000004,75.0,46,29,15.63,0.0,133.98000000000002,29.96,0.4252165426375503,-104.02000000000001,0.08704126524475135,0.0,0,70.4,1,0,,,,,,,,1
