campaign,description,campaign_type,start_day,end_day,exposed_households,redeeming_households,redemption_count,household_redemption_rate
10,TypeB,TypeB,463,495,123,10,15,0.08130081300813008
16,TypeB,TypeB,561,593,188,19,43,0.10106382978723404
19,TypeB,TypeB,603,635,130,15,29,0.11538461538461539
26,TypeA,TypeA,224,264,332,31,73,0.09337349397590361
8,TypeA,TypeA,412,460,1076,158,372,0.14684014869888476
22,TypeB,TypeB,624,656,276,17,47,0.06159420289855073
23,TypeB,TypeB,646,684,183,23,60,0.12568306010928962
20,TypeC,TypeC,615,685,244,20,33,0.08196721311475409
30,TypeA,TypeA,323,369,361,36,64,0.0997229916897507
17,TypeB,TypeB,575,607,202,18,45,0.0891089108910891
25,TypeB,TypeB,659,691,187,24,61,0.12834224598930483
6,TypeC,TypeC,393,425,65,1,1,0.015384615384615385
18,TypeA,TypeA,587,642,1133,214,653,0.18887908208296558
4,TypeB,TypeB,372,404,81,6,11,0.07407407407407407
7,TypeB,TypeB,398,432,198,5,7,0.025252525252525252
28,TypeB,TypeB,259,320,17,1,1,0.058823529411764705
29,TypeB,TypeB,281,334,118,13,24,0.11016949152542373
9,TypeB,TypeB,435,467,176,20,43,0.11363636363636363
11,TypeB,TypeB,477,523,214,6,8,0.028037383177570093
12,TypeB,TypeB,477,509,170,11,26,0.06470588235294118
21,TypeB,TypeB,624,656,65,4,5,0.06153846153846154
27,TypeC,TypeC,237,300,12,1,1,0.08333333333333333
15,TypeC,TypeC,547,708,17,2,2,0.11764705882352941
13,TypeA,TypeA,504,551,1077,196,629,0.18198700092850512
1,TypeB,TypeB,346,383,13,1,1,0.07692307692307693
2,TypeB,TypeB,351,383,48,2,5,0.041666666666666664
5,TypeB,TypeB,377,411,166,8,13,0.04819277108433735
24,TypeB,TypeB,659,719,100,7,10,0.07
3,TypeC,TypeC,356,412,12,2,2,0.16666666666666666
14,TypeC,TypeC,531,596,224,18,34,0.08035714285714286
