department,commodity_desc,category_sales,units,household_count,household_penetration,basket_penetration,discount_rate,first_year_sales,second_year_sales,sales_growth
GROCERY,FROZEN PIZZA,146037.249999999,67225.0,2052,0.8208,0.08381678505808654,0.18339654380335707,68626.60999999956,77410.63999999958,8784.030000000013
GROCERY,BAG SNACKS,148375.15999999645,80824.0,2348,0.9392,0.15204134778142678,0.13106244620131094,66155.95999999983,82219.19999999882,16063.239999998987
MEAT-PCKGD,BACON,45436.40999999977,15981.0,1693,0.6772,0.03935128253352816,0.27126436560050043,20889.95999999998,24546.449999999946,3656.489999999965
PRODUCE,POPCORN,12526.650000000014,5440.0,1189,0.4756,0.014228671460192995,0.24624096856082744,5842.570000000008,6684.080000000005,841.5099999999975
PRODUCE,TROPICAL FRUIT,40551.22999999987,39831.0,2155,0.862,0.11755833972309429,0.06883722425510301,17891.08,22660.149999999998,4769.069999999996
NUTRITION,DRIED FRUIT,9548.080000000014,3893.0,890,0.356,0.010854154309110112,0.0822638073966058,4243.890000000004,5304.190000000006,1060.300000000002
DRUG GM,COLD AND FLU,25642.439999999922,6800.0,1416,0.5664,0.017697226602624384,0.0915974321447298,10794.360000000011,14848.079999999973,4053.719999999961
PASTRY,BREAD,17484.42000000003,10195.0,1329,0.5316,0.028471810303670374,0.09406834814942228,7914.690000000009,9569.730000000016,1655.0400000000072
MEAT-PCKGD,FROZEN MEAT,50911.019999999466,12586.0,1566,0.6264,0.029777491645086154,0.17275177176109785,22662.89999999997,28248.119999999864,5585.219999999896
GROCERY,COOKIES/CONES,54680.95999999976,25570.0,2050,0.82,0.06198188683612795,0.17824616712551666,25152.799999999996,29528.159999999967,4375.3599999999715
GROCERY,FRZN JCE CONC/DRNKS,5724.509999999998,5026.0,531,0.2124,0.00686477336844085,0.1557050684171377,2559.739999999999,3164.7699999999986,605.0299999999997
PRODUCE,POTATOES,45169.619999999195,19074.0,1973,0.7892,0.055446246437406865,0.06772516628666206,19451.899999999994,25717.719999999797,6265.819999999803
GROCERY,MARGARINES,23123.260000000006,17214.0,1960,0.784,0.04904081248824525,0.13451807920891926,10397.140000000009,12726.11999999999,2328.9799999999814
GROCERY,WAREHOUSE SNACKS,15848.490000000033,10633.0,1528,0.6112,0.023704807511465403,0.14235381911898742,7474.410000000012,8374.08000000002,899.6700000000083
PRODUCE,HERBS,4668.730000000009,3836.0,832,0.3328,0.011899422751406954,0.01841137018270501,2442.210000000003,2226.5200000000013,-215.69000000000187
COSMETICS,BATH,4532.350000000003,1403.0,547,0.2188,0.0038121554954355405,0.08746056766417264,2046.0800000000004,2486.2700000000013,440.19000000000096
NUTRITION,SNKS/CKYS/CRKR/CNDY,3702.1800000000007,2222.0,321,0.1284,0.003450470913325907,0.09937777343129224,1545.56,2156.62,611.06
GROCERY,PET CARE SUPPLIES,12886.640000000014,3494.0,751,0.3004,0.009096367240057291,0.043123286530099746,5913.270000000007,6973.370000000006,1060.0999999999995
GROCERY,COCOA MIXES,9778.94,4918.0,1208,0.4832,0.013838052111514591,0.14081297502113682,4677.26,5101.680000000001,424.420000000001
DELI,CHICKEN/POULTRY,32295.97999999982,6899.0,1222,0.4888,0.021393643031784843,0.10159332015650914,14423.380000000005,17872.59999999997,3449.219999999965
GROCERY,BATH TISSUES,60620.22999999935,16958.0,1852,0.7408,0.049315692770648574,0.19433624807699487,26375.979999999894,34244.249999999796,7868.269999999902
DRUG GM,ELECTRICAL SUPPPLIES,10534.930000000008,4076.0,1063,0.4252,0.009602725655010778,0.056685828453051784,5024.71,5510.220000000001,485.5100000000011
DRUG GM,HAIR CARE PRODUCTS,44840.51999999982,12992.0,1506,0.6024,0.028750307431894793,0.0990874333521887,19885.54,24954.97999999999,5069.439999999988
DRUG GM,IN-STORE PHOTOFINISHING,8052.640000000002,1213.0,312,0.1248,0.0026222132202948453,0.0040985532626413275,3615.3300000000004,4437.31,821.98
GROCERY,FRZN POTATOES,21579.300000000105,11297.0,1515,0.606,0.02934708699237569,0.16630422061397113,9870.480000000001,11708.820000000022,1838.3400000000202
GROCERY,FROZEN PIE/DESSERTS,20835.319999999978,9634.0,1502,0.6008,0.023278019704576033,0.24598498579271702,8847.600000000006,11987.720000000001,3140.1199999999953
GROCERY,DRY MIX DESSERTS,11791.029999999997,13810.0,1438,0.5752,0.019719043416617236,0.23462694268963338,5493.279999999997,6297.749999999994,804.4699999999966
PASTRY,SWEET GOODS & SNACKS,5300.050000000006,2008.0,655,0.262,0.005833972309428393,0.074482500899315,2695.750000000002,2604.3000000000015,-91.45000000000027
DRUG GM,VITAMINS,19737.03000000001,3024.0,731,0.2924,0.007237308488013773,0.25153632157380673,7974.510000000006,11762.520000000004,3788.0099999999984
DRUG GM,TOYS AND GAMES,10878.620000000014,2939.0,774,0.3096,0.007002213509642511,0.10380757098571419,5131.210000000004,5747.410000000006,616.2000000000025
DRUG GM,DOMESTIC GOODS,3988.520000000001,1270.0,480,0.192,0.0027234849032855427,0.18119394158425597,2083.39,1905.1300000000008,-178.25999999999908
GROCERY,CAT LITTER,17048.30000000002,3672.0,542,0.2168,0.010676928863876391,0.13585147096021452,6954.460000000005,10093.840000000006,3139.380000000001
FLORAL,ROSES,7425.270000000003,576.0,322,0.1288,0.0018265071396536508,0.07271058382766155,3594.030000000001,3831.240000000001,237.21000000000004
PASTRY,DELI SUPPLIES,1128.7499999999998,433.0,287,0.1148,0.0013237655705212598,0.0,537.26,591.49,54.23000000000002
DRUG GM,IRONING AND CHEMICALS,3346.0100000000007,531.0,290,0.116,0.0014503551742596316,0.010223128052369863,1825.2800000000002,1520.73,-304.5500000000002
CHEF SHOPPE,UNKNOWN,2290.800000000001,875.0,382,0.1528,0.0027090175200011573,0.039142325050752456,183.54999999999998,2107.250000000001,1923.700000000001
NUTRITION,BEVERAGE,1238.54,554.0,133,0.0532,0.0013671677203744158,0.05950337914799909,807.4499999999999,431.09000000000003,-376.3599999999999
MEAT,LAMB,1307.4299999999998,293.0,64,0.0256,0.0006437985561551482,0.04164925783397472,505.28999999999996,802.14,296.85
FROZEN GROCERY,UNKNOWN,646.87,296.0,172,0.0688,0.0008861272261686028,0.04918201461055663,212.19,434.67999999999995,222.48999999999995
DRUG GM,CIGARS,668.75,203.0,73,0.0292,0.0005967795604808958,0.0,311.77,356.98,45.210000000000036
