department,commodity_desc,category_sales,units,household_count,household_penetration,basket_penetration,discount_rate,first_year_sales,second_year_sales,sales_growth,sales_growth_rate,mean_period_sales,sd_period_sales,sales_coefficient_of_variation,household_engagement_change,small_group_flag,high_sales_declining_flag,high_penetration_low_spend_flag
 , ,0.0,0.0,1423,0.5692,0.026735724309544132,1.0,0.0,0.0,0.0,,0.0,0.0,,232.0,0,0,0
AUTOMOTIVE,COUPON,451.65999999999997,65.0,59,0.0236,0.00022786128672906933,0.0,216.31,235.35000000000002,19.04000000000002,0.0880218205353429,56.4575,25.806529489369822,0.4570965680267426,1.0,0,0,0
AUTOMOTIVE,NEWSPAPER,1.0,2.0,2,0.0008,7.233691642192677e-06,0.0,0.0,1.0,1.0,,0.5,0.0,0.0,,1,0,0
CHARITABLE CONT,UNKNOWN,7.74,3.0,2,0.0008,7.233691642192677e-06,0.22444889779559118,7.74,0.0,-7.74,-1.0,7.74,,,,1,0,0
CHEF SHOPPE,UNKNOWN,2290.7999999999934,875.0,382,0.1528,0.0027090175200011573,0.03914232505075264,183.55000000000013,2107.250000000001,1923.7000000000007,10.480523018251155,286.3500000000003,286.94723218240495,1.0020856720181759,88.0,0,0,0
CNTRL/STORE SUP,COUPON/MISC ITEMS,49.05,22.0,20,0.008,7.59537622430231e-05,0.0,4.1,44.95,40.85,9.963414634146343,9.809999999999999,11.879941077294955,1.211003167919975,,1,0,0
COSMETICS,BATH,4532.3499999999085,1403.0,547,0.2188,0.0038121554954355405,0.08726682495282855,2046.0800000000036,2486.26999999999,440.1899999999864,0.21513821551453788,566.5437500000006,128.02598284695432,0.22597722214207497,63.0,0,0,0
COSMETICS,COSMETIC ACCESSORIES,1465.3600000000015,251.0,154,0.0616,0.000737836547503653,0.032727368740676166,548.7500000000003,916.6100000000008,367.86000000000047,0.6703599088838273,183.17,119.99987857136719,0.6551284521011476,4.0,0,0,0
COSMETICS,COUPON/MISC ITEMS,313.24000000000007,48.0,44,0.0176,0.00017360859941262423,0.0,117.24,196.00000000000006,78.76000000000006,0.6717843739338115,39.155,37.042258878976895,0.9460416007911351,4.0,1,0,0
COSMETICS,FRAGRANCES,2535.609999999998,114.0,93,0.0372,0.0004050867319627899,0.020008657406333834,886.6800000000001,1648.9300000000003,762.2500000000002,0.8596675237966348,316.9512500000001,177.89463016367708,0.5612681135148608,13.0,0,0,0
