department,commodity_desc,quarter_like_period,sales,households,baskets
GROCERY,SHORTENING/OIL,1.0,1354.8200000000027,312,389
GROCERY,FLUID MILK PRODUCTS,1.0,9323.139999999763,1134,3311
GROCERY,BAKED BREAD/BUNS/ROLLS,1.0,7282.329999999843,1134,2986
PRODUCE,VEGETABLES - ALL OTHERS,1.0,1508.9699999999982,443,763
GROCERY,YOGURT,1.0,2838.2800000000284,432,862
GROCERY,CANNED JUICES,1.0,3728.980000000004,525,1002
GROCERY,BUTTER,1.0,741.0400000000004,144,214
GROCERY,CANNED MILK,1.0,145.73999999999998,63,79
GROCERY,DOMESTIC WINE,1.0,2071.0000000000014,100,167
DRUG GM,MAGAZINE,1.0,1434.990000000003,208,330
PASTRY,BREAKFAST SWEETS,1.0,1142.2000000000016,280,466
MEAT-PCKGD,DINNER SAUSAGE,1.0,2931.579999999988,432,644
DRUG GM,ANALGESICS,1.0,1042.5400000000006,153,193
DRUG GM,ORAL HYGIENE PRODUCTS,1.0,1733.1100000000033,272,379
GROCERY,COLD CEREAL,1.0,5513.079999999934,677,1243
GROCERY,VEGETABLES - SHELF STABLE,1.0,2362.610000000017,556,942
PRODUCE,VALUE ADDED FRUIT,1.0,1519.1000000000015,249,406
PRODUCE,POTATOES,1.0,1558.2100000000028,437,651
MEAT-PCKGD,HEAT/SERVE,1.0,1328.590000000002,182,262
GROCERY,WAREHOUSE SNACKS,1.0,716.0300000000011,206,296
PRODUCE,PEPPERS-ALL,1.0,855.2400000000013,288,440
GROCERY,DRY SAUCES/GRAVY,1.0,439.66000000000025,179,232
GROCERY,COCOA MIXES,1.0,447.83000000000027,143,174
NUTRITION,RICE CAKES,1.0,151.9099999999999,29,49
DRUG GM,DIETARY AID PRODUCTS,1.0,924.6200000000015,67,105
DELI,SANDWICHES,1.0,281.6800000000001,37,67
GROCERY,PICKLE/RELISH/PKLD VEG,1.0,796.5800000000003,252,321
DRUG GM,PLASTIC HOUSEWARES,1.0,448.2600000000003,109,119
DRUG GM,KITCHEN GADGETS,1.0,426.98000000000013,114,125
DELI,SERVICE BEVERAGE,1.0,40.969999999999985,15,38
DRUG GM,FILM AND CAMERA PRODUCTS,1.0,583.4400000000005,70,87
PRODUCE,SQUASH,1.0,137.42,64,75
DRUG GM,DOMESTIC GOODS,1.0,170.54999999999995,30,35
