household_key,day,coupon_upc,campaign,campaign_type,start_day,end_day
1,421,10000085364,8,TypeA,412,460
1,421,51700010076,8,TypeA,412,460
1,427,54200000033,8,TypeA,412,460
1,597,10000085476,18,TypeA,587,642
1,597,54200029176,18,TypeA,587,642
8,422,53600000078,8,TypeA,412,460
13,396,53700048182,5,TypeB,377,411
13,424,10000085364,8,TypeA,412,460
13,434,53600000078,8,TypeA,412,460
13,447,52370020076,8,TypeA,412,460
13,478,53600050042,11,TypeB,477,523
13,494,53600000082,10,TypeB,463,495
13,512,51600070033,13,TypeA,504,551
13,512,52500060033,11,TypeB,477,523
13,512,54154889076,13,TypeA,504,551
13,543,10000085427,13,TypeA,504,551
13,543,52740022050,13,TypeA,504,551
13,609,10000089277,18,TypeA,587,642
13,609,51800015050,18,TypeA,587,642
13,609,53500035050,18,TypeA,587,642
13,609,54105800093,18,TypeA,587,642
13,636,52800031032,22,TypeB,624,656
13,642,51312010033,22,TypeB,624,656
13,642,53980010082,18,TypeA,587,642
13,647,10000089316,22,TypeB,624,656
13,647,54400021032,22,TypeB,624,656
13,651,51800000050,22,TypeB,624,656
14,540,10000089128,13,TypeA,504,551
14,540,51480000076,13,TypeA,504,551
14,540,52740022050,13,TypeA,504,551
18,428,53700020076,8,TypeA,412,460
18,428,55000013033,8,TypeA,412,460
18,515,10000085429,13,TypeA,504,551
18,515,51380020033,13,TypeA,504,551
18,515,55000013050,13,TypeA,504,551
18,599,10000085475,18,TypeA,587,642
18,634,55000013950,18,TypeA,587,642
18,637,52500010050,18,TypeA,587,642
19,684,54100027032,20,TypeC,615,685
22,228,51111540076,26,TypeA,224,264
22,228,55410000076,26,TypeA,224,264
22,243,52500010033,26,TypeA,224,264
22,243,55150054075,26,TypeA,224,264
22,333,51600070033,30,TypeA,323,369
22,376,52277610055,4,TypeB,372,404
22,376,53450050033,4,TypeB,372,404
22,376,54300026150,4,TypeB,372,404
22,382,51111540076,4,TypeB,372,404
22,447,54850011033,9,TypeB,435,467
22,509,51440050055,13,TypeA,504,551
22,526,51440050055,13,TypeA,504,551
22,592,10000085475,18,TypeA,587,642
22,592,10000085484,18,TypeA,587,642
22,592,10000089284,18,TypeA,587,642
22,592,51600070033,18,TypeA,587,642
22,592,51800010250,18,TypeA,587,642
22,607,54300026050,18,TypeA,587,642
22,607,54850010033,18,TypeA,587,642
22,628,52100000031,22,TypeB,624,656
22,628,54450000076,22,TypeB,624,656
22,640,51312010033,22,TypeB,624,656
22,640,54850010033,18,TypeA,587,642
22,640,54850010033,22,TypeB,624,656
22,642,10000085486,22,TypeB,624,656
29,460,55100012140,8,TypeA,412,460
31,663,53000000036,23,TypeB,646,684
31,677,54060060033,23,TypeB,646,684
40,505,10000089106,13,TypeA,504,551
40,512,53620010050,13,TypeA,504,551
40,528,10000089098,13,TypeA,504,551
40,530,10000085429,13,TypeA,504,551
40,533,10000089101,13,TypeA,504,551
40,533,50800490076,13,TypeA,504,551
40,533,51254711082,13,TypeA,504,551
40,541,57455024475,13,TypeA,504,551
40,550,55942700087,13,TypeA,504,551
40,607,57410101082,18,TypeA,587,642
40,607,57410101082,19,TypeB,603,635
40,628,52000030042,18,TypeA,587,642
40,638,54060060076,18,TypeA,587,642
40,638,54200029176,18,TypeA,587,642
46,419,10000085361,8,TypeA,412,460
46,419,10000085363,8,TypeA,412,460
56,420,57800000033,8,TypeA,412,460
56,422,54200000033,8,TypeA,412,460
58,591,10000085475,18,TypeA,587,642
58,591,10000089195,17,TypeB,575,607
58,591,51800015050,18,TypeA,587,642
58,591,53800030050,17,TypeB,575,607
58,591,54133500050,18,TypeA,587,642
58,591,54154888076,18,TypeA,587,642
58,591,57045970076,17,TypeB,575,607
67,431,10000085364,8,TypeA,412,460
67,431,53663200076,8,TypeA,412,460
67,431,54154889078,8,TypeA,412,460
67,431,54900065051,8,TypeA,412,460
67,431,57756765076,8,TypeA,412,460
67,438,52840042077,9,TypeB,435,467
67,455,53800050033,8,TypeA,412,460
67,455,53800050033,9,TypeB,435,467
67,455,55000013050,8,TypeA,412,460
67,514,10000085426,13,TypeA,504,551
67,514,53700040075,13,TypeA,504,551
67,530,52016910055,13,TypeA,504,551
67,608,10000085475,18,TypeA,587,642
67,608,10000089290,18,TypeA,587,642
67,608,51800015050,18,TypeA,587,642
67,608,51906341075,18,TypeA,587,642
67,608,53010010033,18,TypeA,587,642
67,610,57631000076,18,TypeA,587,642
67,616,55000013950,18,TypeA,587,642
67,632,51800000050,22,TypeB,624,656
67,632,57045970076,22,TypeB,624,656
67,639,54850010033,18,TypeA,587,642
67,639,54850010033,22,TypeB,624,656
67,639,57218040076,18,TypeA,587,642
67,665,52840000082,23,TypeB,646,684
67,681,10000085491,23,TypeB,646,684
67,681,51200000076,23,TypeB,646,684
67,681,53000000036,23,TypeB,646,684
67,681,54060060033,23,TypeB,646,684
67,681,54850010033,23,TypeB,646,684
67,681,55100000033,23,TypeB,646,684
67,681,55200017313,23,TypeB,646,684
67,691,52700012033,25,TypeB,659,691
68,333,54154888076,30,TypeA,323,369
77,601,55000013950,18,TypeA,587,642
79,602,55000013950,18,TypeA,587,642
80,612,53600010087,19,TypeB,603,635
88,486,57940062040,11,TypeB,477,523
88,542,53620010028,14,TypeC,531,596
88,576,10000089194,17,TypeB,575,607
88,592,53800030050,17,TypeB,575,607
88,592,57045970076,17,TypeB,575,607
88,654,54400000032,23,TypeB,646,684
88,685,54132220050,25,TypeB,659,691
93,282,51380041313,29,TypeB,281,334
93,325,54400000033,29,TypeB,281,334
93,329,51380041013,29,TypeB,281,334
93,375,51380040009,1,TypeB,346,383
93,424,51111121078,7,TypeB,398,432
93,438,52580010042,9,TypeB,435,467
93,509,53800050033,13,TypeA,504,551
93,509,54369530009,13,TypeA,504,551
99,515,10000085426,13,TypeA,504,551
99,543,10000089077,13,TypeA,504,551
99,633,10000085475,18,TypeA,587,642
99,633,54060060076,18,TypeA,587,642
101,526,10000085429,13,TypeA,504,551
101,526,10000089135,13,TypeA,504,551
101,608,10000085476,18,TypeA,587,642
101,624,52000030042,18,TypeA,587,642
101,636,54900050076,18,TypeA,587,642
104,586,53450058040,17,TypeB,575,607
104,600,53800030050,17,TypeB,575,607
104,600,54280011660,17,TypeB,575,607
104,614,10000085477,18,TypeA,587,642
105,591,10000085479,18,TypeA,587,642
105,591,51960010076,18,TypeA,587,642
105,591,52000030042,18,TypeA,587,642
105,591,52100023024,18,TypeA,587,642
105,591,52500010050,18,TypeA,587,642
105,591,52840001082,18,TypeA,587,642
105,591,54060060076,18,TypeA,587,642
105,591,55410000076,18,TypeA,587,642
113,562,53500000076,16,TypeB,561,593
113,671,51111120078,20,TypeC,615,685
115,400,50813700076,5,TypeB,377,411
115,400,53600010082,5,TypeB,377,411
115,407,50813700076,5,TypeB,377,411
115,407,53600010082,5,TypeB,377,411
115,407,57007440087,5,TypeB,377,411
115,421,54450031033,8,TypeA,412,460
115,428,53760084282,8,TypeA,412,460
115,430,54100027009,8,TypeA,412,460
115,518,10000085429,13,TypeA,504,551
115,518,51910011176,13,TypeA,504,551
115,518,56414410013,13,TypeA,504,551
115,567,10000085482,16,TypeB,561,593
115,608,50008710076,19,TypeB,603,635
115,608,51500050033,19,TypeB,603,635
115,625,50008710076,19,TypeB,603,635
115,647,50052110076,20,TypeC,615,685
115,647,53620010028,20,TypeC,615,685
115,647,54100024032,20,TypeC,615,685
115,647,54100027032,20,TypeC,615,685
117,426,10000085361,8,TypeA,412,460
117,426,10000089019,8,TypeA,412,460
117,426,54154888076,8,TypeA,412,460
117,521,10000085426,13,TypeA,504,551
117,521,10000085427,13,TypeA,504,551
117,575,54589353178,14,TypeC,531,596
117,597,54300026050,18,TypeA,587,642
125,417,54154888076,8,TypeA,412,460
125,417,54154889078,8,TypeA,412,460
127,595,10000089257,18,TypeA,587,642
127,595,51111120001,18,TypeA,587,642
127,595,51111120076,14,TypeC,531,596
127,595,51600070033,18,TypeA,587,642
139,522,54300020076,13,TypeA,504,551
139,535,10000089093,13,TypeA,504,551
139,535,52840042034,13,TypeA,504,551
139,535,54100024950,13,TypeA,504,551
139,598,10000085475,18,TypeA,587,642
139,598,51906341075,18,TypeA,587,642
