household_key,recency_weeks,frequency_baskets,monetary_spend,avg_line_sales,total_units,product_diversity,category_diversity,discount_amount,coupon_line_count,first_half_spend,second_half_spend,top_department_share,spend_trend_change,discount_rate,coupon_engagement,campaign_exposure_count,future_spend,next_period_active_flag,next_period_spend_decline_flag,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc,missing_demographic_flag
825,0,217,10600.390000000003,3.9836114242765888,715626.0,1498,205,1698.1999999999998,47.0,5565.260000000002,5035.130000000001,0.35576804249654964,-530.130000000001,0.138080869433,0.21658986175115208,6,1234.6300000000006,1,1,45-54,A,175-199K,Homeowner,2 Adults No Kids,2,None/Unknown,0
184,0,218,5881.010000000001,4.520376633358955,446759.0,710,156,915.36,17.0,1825.8800000000003,4055.130000000001,0.35395960897872986,2229.250000000001,0.13468366201369258,0.0779816513761468,5,1209.0600000000002,1,0,45-54,U,25-34K,Unknown,Single Male,1,None/Unknown,0
2334,0,316,10306.730000000007,2.9473062625107254,3965.0,1632,187,1564.7000000000003,8.0,4348.810000000001,5957.920000000004,0.5816054170430387,1609.1100000000024,0.13180383492131945,0.02531645569620253,9,1648.6500000000005,1,0,35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,0
2017,0,141,5574.75,2.6333254605573924,450130.0,1064,167,1025.5200000000002,1.0,1382.2599999999998,4192.490000000001,0.487966276514642,2810.230000000001,0.15537546191292176,0.0070921985815602835,6,1531.8700000000003,1,0,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,0
1438,6,37,1796.5800000000004,3.495291828793775,629.0,379,130,174.79,0.0,754.8800000000002,1041.7000000000003,0.27843458125994935,286.82000000000005,0.08866422842997507,0.0,1,334.19,1,0,45-54,U,Under 15K,Unknown,Single Female,1,None/Unknown,0
2405,0,129,2867.63,3.266093394077449,199864.0,516,110,426.1000000000001,2.0,864.76,2002.87,0.49353647437082176,1138.11,0.12936700943914653,0.015503875968992248,3,558.0699999999999,1,0,25-34,U,15-24K,Unknown,Single Female,1,None/Unknown,0
302,0,77,1564.73,3.3221443736730363,10999.0,358,109,198.05,1.0,826.42,738.3100000000001,0.486281978360484,-88.1099999999999,0.11235094566536948,0.012987012987012988,1,232.8,1,0,45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,0
2062,0,210,5184.4100000000035,2.5947997997998016,54517.0,1043,171,1636.9399999999998,20.0,3590.5800000000017,1593.8300000000006,0.461120937580168,-1996.7500000000011,0.23997302586731353,0.09523809523809523,6,173.21,1,1,25-34,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,0
2121,0,121,4676.340000000001,3.6391750972762655,414453.0,856,177,699.1099999999999,28.0,1960.3300000000006,2716.0100000000007,0.42360906178763724,755.6800000000001,0.13005608832748883,0.23140495867768596,4,906.4500000000002,1,0,55-64,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0
133,0,65,3219.2300000000005,3.3850998948475293,1425.0,643,143,817.7899999999998,10.0,1248.14,1971.0900000000001,0.4979203101362747,722.95,0.20257268975630532,0.15384615384615385,4,604.6600000000001,1,0,45-54,A,Under 15K,Homeowner,Single Male,2,None/Unknown,0
1163,0,145,4514.990000000001,3.3271849668386153,343778.0,917,164,746.6999999999999,3.0,2047.1100000000001,2467.8800000000006,0.45881607711202016,420.77000000000044,0.14191257941839977,0.020689655172413793,6,293.02,1,1,35-44,U,Under 15K,Unknown,Unknown,1,None/Unknown,0
510,0,311,6866.6600000000035,2.5621865671641806,347309.0,1491,186,1079.93,21.0,3029.13,3837.5300000000016,0.5044592276303179,808.4000000000015,0.13589854264533588,0.06752411575562701,9,1036.7,1,0,35-44,A,250K+,Homeowner,2 Adults Kids,3,1,0
671,0,111,4621.070000000001,5.3176869965477565,400059.0,413,109,677.3100000000001,12.0,2594.6200000000003,2026.4500000000003,0.5567498436509294,-568.1700000000001,0.127833413231969,0.10810810810810811,3,468.59,1,1,35-44,U,35-49K,Homeowner,Single Female,1,None/Unknown,0
2004,0,210,8167.390000000005,2.7215561479506847,3516.0,951,159,1384.3299999999995,199.0,3209.8700000000003,4957.520000000002,0.5871153452939065,1747.650000000002,0.14492991838119196,0.9476190476190476,7,1886.480000000001,1,0,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,0
1137,0,116,1806.2800000000002,3.157832167832168,24405.0,166,64,247.27999999999994,0.0,786.4,1019.8800000000001,0.45010186682020503,233.48000000000013,0.12041527883285609,0.0,4,315.61,1,0,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,0
597,0,93,3253.430000000001,2.3507442196531803,1632.0,871,146,583.55,2.0,1456.3400000000001,1797.0900000000004,0.6150770110314341,340.7500000000002,0.15208575494268925,0.021505376344086023,3,572.8199999999999,1,0,19-24,U,Under 15K,Unknown,1 Adult Kids,2,1,0
2264,0,263,14323.990000000007,3.8197306666666684,26458.0,1738,210,2085.9099999999994,10.0,5876.540000000004,8447.450000000004,0.6418700376082361,2570.9100000000008,0.1271129013583263,0.03802281368821293,7,2636.6000000000017,1,0,45-54,A,250K+,Homeowner,2 Adults No Kids,2,None/Unknown,0
441,0,65,2095.520000000001,2.839457994579947,973.0,221,85,268.18,2.0,945.67,1149.8500000000001,0.5978945560051918,204.18000000000018,0.1134577145999915,0.03076923076923077,1,274.37999999999994,1,1,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,0
1169,0,111,4410.910000000001,2.4369668508287297,15528.0,720,133,1104.1799999999998,5.0,2312.0600000000004,2098.85,0.4552303266219441,-213.2100000000005,0.20021069465774807,0.04504504504504504,4,748.4899999999999,1,0,19-24,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,0
1,0,73,3693.7700000000004,2.4924224021592445,1725.0,590,124,716.1600000000002,92.0,1576.4099999999996,2117.36,0.6433129296085027,540.9500000000005,0.1623971355554397,1.2602739726027397,6,636.39,1,0,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0
582,0,123,4344.860000000001,4.357933801404213,85851.0,726,156,605.3799999999999,2.0,2493.620000000001,1851.2400000000002,0.5513042997933191,-642.3800000000006,0.1222930605384789,0.016260162601626018,3,792.8800000000001,1,0,45-54,A,125-149K,Homeowner,Unknown,3,1,0
2053,0,152,3082.5300000000007,2.6550645994832047,44424.0,561,128,568.1599999999999,2.0,1198.9099999999999,1883.6199999999997,0.5907517526187903,684.7099999999998,0.15563085334553187,0.013157894736842105,4,268.80999999999995,1,1,45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,0
1707,0,646,5618.0400000000045,2.6676353276353297,2825.0,969,174,920.2199999999998,56.0,3650.9400000000014,1967.1,0.5344728766616113,-1683.8400000000015,0.14074386763450816,0.08668730650154799,5,962.4500000000005,1,0,35-44,B,25-34K,Unknown,Single Female,1,None/Unknown,0
1720,0,126,4649.460000000002,3.114172806430008,44551.0,727,144,583.9499999999999,22.0,1611.4799999999998,3037.9800000000005,0.621809844584102,1426.5000000000007,0.11158116791919603,0.1746031746031746,6,1106.23,1,0,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,0
2184,1,230,4513.1900000000005,3.792596638655463,269451.0,847,163,596.15,0.0,2880.050000000001,1633.14,0.4999988921361609,-1246.910000000001,0.11667847510637382,0.0,4,581.6100000000001,1,1,25-34,U,50-74K,Unknown,Single Female,1,None/Unknown,0
1470,0,106,1548.33,3.3369181034482756,87404.0,353,118,243.3,4.0,643.3699999999999,904.9600000000003,0.48085356480853575,261.5900000000004,0.13579812796168853,0.03773584905660377,6,442.99999999999994,1,0,45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,0
98,0,142,1850.63,1.810792563600783,1341.0,574,125,395.46999999999997,1.0,415.46,1435.1700000000003,0.7122763599422898,1019.7100000000003,0.1760696318062419,0.007042253521126761,2,696.6700000000001,1,0,35-44,U,35-49K,Unknown,1 Adult Kids,2,1,0
1263,1,122,5131.260000000002,3.753664959765912,21869.0,811,154,739.1600000000001,6.0,2526.2000000000016,2605.0600000000004,0.5356130852850953,78.85999999999876,0.12591262635382133,0.04918032786885246,6,126.18,1,1,25-34,B,15-24K,Unknown,Single Male,1,None/Unknown,0
221,0,69,2445.87,2.2922867853795688,41144.0,601,98,583.4699999999999,12.0,942.71,1503.1599999999999,0.6652234174342871,560.4499999999998,0.1926063102854087,0.17391304347826086,3,433.41999999999996,1,0,65+,U,15-24K,Unknown,Unknown,1,None/Unknown,0
752,3,100,3401.4500000000003,3.6614101184068892,310788.0,667,160,505.98,0.0,2093.65,1307.7999999999997,0.3695571006482529,-785.8500000000004,0.12949176312819424,0.0,3,391.11000000000007,1,1,35-44,A,75-99K,Renter,Single Female,2,None/Unknown,0
1261,0,208,3297.020000000001,2.5940361919748236,72054.0,629,142,540.18,8.0,1347.0,1950.0200000000002,0.50885344947862,603.0200000000002,0.1407745230897529,0.038461538461538464,5,480.96000000000004,1,1,45-54,A,25-34K,Homeowner,Single Female,2,None/Unknown,0
1662,1,74,7695.790000000005,3.1972538429580415,3189.0,1188,174,1383.4,3.0,3397.950000000001,4297.840000000001,0.5236395483764497,899.8899999999999,0.15237042070933632,0.04054054054054054,8,922.1500000000003,1,1,35-44,U,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,0
